,x,y
1,57.875,758
2,57.875,769.375
3,64.375,771
4,64.375,754.75
5,64.375,754.75
6,100.125,772.625
7,132.625,743.375
8,155.375,743.375
9,161.875,753.125
10,118,753.125
11,80.625,762.875
12,105,762.875
13,98.5,762.875
14,101.75,762.875
15,101.75,762.875
16,135.875,743.375
17,157,732
18,209,730.375
19,168.375,738.5
20,158.625,758
21,106.625,758
22,79,759.625
23,61.125,759.625
24,131,740.125
25,178.125,720.625
26,222,712.5
27,244.75,689.75
28,231.75,740.125
29,186.25,767.75
30,116.375,756.375
31,134.25,740.125
32,223.625,709.25
33,269.125,689.75
34,295.125,652.375
35,319.5,618.25
36,321.125,602
37,322.75,600.375
38,347.125,584.125
39,361.75,551.625
40,368.25,519.125
41,394.25,476.875
42,399.125,498
43,399.125,514.25
44,399.125,532.125
45,397.5,566.25
46,397.5,566.25
47,368.25,584.125
48,371.5,548.375
49,376.375,494.75
50,376.375,605.25
51,363.375,623.125
52,335.75,637.75
53,334.125,660.5
54,324.375,683.25
55,347.125,675.125
56,352,647.5
57,355.25,637.75
58,369.875,592.25
59,369.875,592.25
60,384.5,566.25
61,404,527.25
62,417,498
63,378,541.875
64,361.75,587.375
65,303.25,642.625
66,322.75,673.5
67,376.375,673.5
68,378,637.75
69,353.625,639.375
70,314.625,675.125
71,278.875,693
72,244.75,710.875
73,335.75,645.875
74,368.25,602
75,368.25,587.375
76,368.25,563
77,399.125,541.875
78,366.625,584.125
79,353.625,634.5
80,360.125,647.5
81,313,673.5
82,267.5,697.875
83,254.5,723.875
84,334.125,647.5
85,342.25,606.875
86,365,564.625
87,371.5,564.625
88,378,525.625
89,387.75,472
90,389.375,465.5
91,389.375,459
92,389.375,431.375
93,389.375,407
94,391,338.75
95,379.625,332.25
96,374.75,366.375
97,397.5,369.625
98,399.125,398.875
99,387.75,431.375
100,405.625,413.5
101,405.625,369.625
102,407.25,330.625
103,407.25,330.625
104,397.5,309.5
105,381.25,286.75
106,381.25,307.875
107,381.25,359.875
108,382.875,390.75
109,382.875,389.125
110,382.875,358.25
111,382.875,358.25
112,387.75,398.875
113,387.75,447.625
114,387.75,418.375
115,405.625,394
116,423.5,377.75
117,405.625,361.5
118,392.625,358.25
119,392.625,381
120,392.625,420
121,395.875,423.25
122,418.625,405.375
123,418.625,372.875
124,415.375,345.25
125,415.375,332.25
126,415.375,332.25
127,389.375,382.625
128,400.75,428.125
129,400.75,444.375
130,400.75,379.375
131,491.75,382.625
132,433.25,376.125
133,412.125,361.5
134,415.375,346.875
135,410.5,351.75
136,407.25,387.5
137,400.75,424.875
138,395.875,455.75
139,394.25,468.75
140,394.25,437.875
141,394.25,364.75
142,384.5,342
143,381.25,376.125
144,379.625,387.5
145,378,423.25
146,378,449.25
147,378,447.625
148,395.875,424.875
149,430,374.5
150,381.25,364.75
151,363.375,291.625
152,363.375,262.375
153,347.125,249.375
154,347.125,229.875
155,337.375,205.5
156,334.125,194.125
157,321.125,176.25
158,319.5,171.375
159,308.125,158.375
160,293.5,140.5
161,293.5,140.5
162,287,132.375
163,287,132.375
164,233.375,93.375
165,233.375,93.375
166,215.5,75.5
167,264.25,82
168,285.375,134
169,353.625,134
170,353.625,134
171,264.25,101.5
172,296.75,101.5
173,309.75,78.75
174,369.875,197.375
175,404,247.75
176,366.625,158.375
177,332.5,151.875
178,329.25,106.375
179,308.125,106.375
180,319.5,151.875
181,322.75,140.5
182,361.75,137.25
183,361.75,137.25
184,360.125,156.75
185,358.5,194.125
186,356.875,194.125
187,356.875,247.75
188,361.75,325.75
189,376.375,304.625
190,397.5,309.5
191,373.125,254.25
192,355.25,189.25
193,295.125,161.625
194,283.75,116.125
195,254.5,88.5
196,304.875,91.75
197,322.75,134
198,337.375,164.875
199,361.75,207.125
200,373.125,179.5
201,347.125,150.25
202,347.125,150.25
203,330.875,130.75
204,287,82
205,287,82
206,280.5,90.125
207,278.875,122.625
208,291.875,148.625
209,291.875,134
210,288.625,132.375
211,262.625,121
212,235,91.75
213,199.25,80.375
214,194.375,60.875
215,222,57.625
216,254.5,104.75
217,291.875,135.625
218,317.875,182.75
219,335.75,208.75
220,343.875,233.125
221,378,291.625
222,355.25,225
223,158.625,56
224,127.75,49.5
225,93.625,44.625
226,70.875,46.25
227,62.75,47.875
228,59.5,41.375
229,59.5,38.125
230,59.5,38.125
231,75.75,26.75
232,56.25,26.75
233,70.875,41.375
234,62.75,41.375
235,57.875,31.625
236,80.625,34.875
237,111.5,34.875
238,135.875,38.125
239,118,39.75
240,92,39.75
241,85.5,41.375
242,69.25,46.25
243,69.25,46.25
244,147.25,49.5
245,171.625,59.25
246,202.5,59.25
247,109.875,18.625
248,171.625,38.125
249,135.875,39.75
250,113.125,39.75
251,72.5,39.75
252,35.125,39.75
253,61.125,39.75
254,131,30
