,x,y,xKlay,yKlay,xKorver,yKorver,xKobe,yKobe
1,54.625,761.25,54.625,767.75,57.875,758,59.5,759.625
2,83.875,777.5,66,771,57.875,769.375,300,645.875
3,57.875,756.375,75.75,762.875,64.375,771,319.5,608.5
4,88.75,754.75,56.25,756.375,64.375,754.75,347.125,574.375
5,101.75,740.125,72.5,758,64.375,754.75,379.625,506.125
6,106.625,756.375,80.625,758,100.125,772.625,348.75,558.125
7,106.625,766.125,105,753.125,132.625,743.375,389.375,463.875
8,92,758,83.875,756.375,155.375,743.375,434.875,475.25
9,70.875,751.5,88.75,761.25,161.875,753.125,423.5,515.875
10,62.75,758,132.625,766.125,118,753.125,389.375,421.625
11,70.875,779.125,142.375,761.25,80.625,762.875,381.25,436.25
12,82.25,761.25,153.75,751.5,105,762.875,408.875,346.875
13,106.625,749.875,137.5,753.125,98.5,762.875,384.5,299.75
14,147.25,745,129.375,756.375,101.75,762.875,371.5,314.375
15,161.875,749.875,114.75,756.375,101.75,762.875,348.75,255.875
16,139.125,771,116.375,754.75,135.875,743.375,348.75,208.75
17,126.125,771,103.375,748.25,157,732,304.875,155.125
18,108.25,762.875,90.375,754.75,209,730.375,285.375,135.625
19,87.125,761.25,82.25,759.625,168.375,738.5,261,109.625
20,69.25,762.875,72.5,761.25,158.625,758,249.625,82
21,56.25,769.375,69.25,766.125,106.625,758,272.375,91.75
22,67.625,779.125,72.5,771,79,759.625,308.125,125.875
23,77.375,771,75.75,772.625,61.125,759.625,241.5,111.25
24,87.125,764.5,83.875,779.125,131,740.125,210.625,77.125
25,75.75,764.5,83.875,772.625,178.125,720.625,163.5,47.875
26,70.875,759.625,83.875,764.5,222,712.5,105,39.75
27,85.5,749.875,96.875,759.625,244.75,689.75,77.375,44.625
28,105,746.625,109.875,764.5,231.75,740.125,,
29,134.25,745,118,772.625,186.25,767.75,,
30,142.375,745,127.75,769.375,116.375,756.375,,
31,160.25,740.125,144,756.375,134.25,740.125,,
32,170,732,186.25,725.5,223.625,709.25,,
33,178.125,730.375,205.75,710.875,269.125,689.75,,
34,187.875,725.5,239.875,693,295.125,652.375,,
35,204.125,720.625,270.75,676.75,319.5,618.25,,
36,217.125,719,288.625,657.25,321.125,602,,
37,231.75,746.625,308.125,645.875,322.75,600.375,,
38,220.375,749.875,326,624.75,347.125,584.125,,
39,209,753.125,334.125,610.125,361.75,551.625,,
40,265.875,701.125,340.625,592.25,368.25,519.125,,
41,254.5,697.875,340.625,577.625,394.25,476.875,,
42,264.25,681.625,353.625,563,399.125,498,,
43,278.875,671.875,365,558.125,399.125,514.25,,
44,291.875,662.125,369.875,540.25,399.125,532.125,,
45,300,647.5,371.5,530.5,397.5,566.25,,
46,313,641,376.375,501.25,397.5,566.25,,
47,329.25,628,389.375,504.5,368.25,584.125,,
48,345.5,611.75,394.25,517.5,371.5,548.375,,
49,352,603.625,371.5,533.75,376.375,494.75,,
50,365,582.5,368.25,540.25,376.375,605.25,,
51,371.5,567.875,365,558.125,363.375,623.125,,
52,376.375,540.25,365,572.75,335.75,637.75,,
53,384.5,515.875,361.75,587.375,334.125,660.5,,
54,387.75,502.875,360.125,603.625,324.375,683.25,,
55,386.125,486.625,352,615,347.125,675.125,,
56,400.75,476.875,343.875,626.375,352,647.5,,
57,407.25,509.375,343.875,645.875,355.25,637.75,,
58,394.25,522.375,356.875,665.375,369.875,592.25,,
59,376.375,532.125,342.25,675.125,369.875,592.25,,
60,365,541.875,321.125,675.125,384.5,566.25,,
61,360.125,554.875,319.5,670.25,404,527.25,,
62,355.25,572.75,350.375,649.125,417,498,,
63,355.25,587.375,366.625,639.375,378,541.875,,
64,352,603.625,379.625,626.375,361.75,587.375,,
65,345.5,618.25,386.125,603.625,303.25,642.625,,
66,340.625,631.25,379.625,592.25,322.75,673.5,,
67,334.125,642.625,379.625,576,376.375,673.5,,
68,329.25,658.875,378,556.5,378,637.75,,
69,324.375,665.375,402.375,541.875,353.625,639.375,,
70,309.75,671.875,410.5,558.125,314.625,675.125,,
71,290.25,676.75,415.375,551.625,278.875,693,,
72,317.875,668.625,408.875,537,244.75,710.875,,
73,322.75,652.375,408.875,519.125,335.75,645.875,,
74,322.75,639.375,425.125,506.125,368.25,602,,
75,343.875,626.375,410.5,501.25,368.25,587.375,,
76,358.5,618.25,392.625,512.625,368.25,563,,
77,379.625,595.5,371.5,538.625,399.125,541.875,,
78,392.625,576,369.875,550,366.625,584.125,,
79,391,567.875,360.125,563,353.625,634.5,,
80,366.625,566.25,358.5,571.125,360.125,647.5,,
81,358.5,579.25,348.75,579.25,313,673.5,,
82,347.125,593.875,345.5,589,267.5,697.875,,
83,337.375,608.5,335.75,605.25,254.5,723.875,,
84,330.875,624.75,329.25,618.25,334.125,647.5,,
85,326,639.375,322.75,632.875,342.25,606.875,,
86,334.125,658.875,317.875,645.875,365,564.625,,
87,334.125,684.875,335.75,654,371.5,564.625,,
88,330.875,699.5,355.25,645.875,378,525.625,,
89,342.25,654,384.5,623.125,387.75,472,,
90,395.875,618.25,387.75,611.75,389.375,465.5,,
91,402.375,593.875,387.75,593.875,389.375,459,,
92,420.25,556.5,389.375,576,389.375,431.375,,
93,418.625,550,391,550,389.375,407,,
94,408.875,548.375,392.625,525.625,391,338.75,,
95,369.875,566.25,392.625,506.125,379.625,332.25,,
96,347.125,576,386.125,489.875,374.75,366.375,,
97,330.875,598.75,412.125,480.125,397.5,369.625,,
98,316.25,621.5,425.125,473.625,399.125,398.875,,
99,347.125,629.625,436.5,467.125,387.75,431.375,,
100,361.75,616.625,417,472,405.625,413.5,,
101,381.25,580.875,382.875,483.375,405.625,369.625,,
102,395.875,546.75,391,509.375,407.25,330.625,,
103,413.75,522.375,381.25,515.875,407.25,330.625,,
104,425.125,512.625,369.875,540.25,397.5,309.5,,
105,413.75,524,360.125,556.5,381.25,286.75,,
106,389.375,538.625,352,577.625,381.25,307.875,,
107,374.75,553.25,343.875,593.875,381.25,359.875,,
108,369.875,587.375,330.875,606.875,382.875,390.75,,
109,356.875,602,324.375,626.375,382.875,389.125,,
110,340.625,615,309.75,652.375,382.875,358.25,,
111,324.375,631.25,269.125,691.375,382.875,358.25,,
112,317.875,645.875,337.375,637.75,387.75,398.875,,
113,317.875,658.875,392.625,470.375,387.75,447.625,,
114,308.125,667,392.625,441.125,387.75,418.375,,
115,321.125,694.625,402.375,418.375,405.625,394,,
116,327.625,678.375,404,395.625,423.5,377.75,,
117,355.25,636.125,394.25,382.625,405.625,361.5,,
118,374.75,602,391,374.5,392.625,358.25,,
119,381.25,582.5,386.125,363.125,392.625,381,,
120,387.75,548.375,389.375,351.75,392.625,420,,
121,395.875,532.125,407.25,351.75,395.875,423.25,,
122,405.625,527.25,384.5,342,418.625,405.375,,
123,378,541.875,378,335.5,418.625,372.875,,
124,368.25,554.875,378,348.5,415.375,345.25,,
125,350.375,587.375,384.5,361.5,415.375,332.25,,
126,339,611.75,391,379.375,415.375,332.25,,
127,324.375,641,394.25,389.125,389.375,382.625,,
128,314.625,655.625,394.25,368,400.75,428.125,,
129,339,665.375,395.875,356.625,400.75,444.375,,
130,343.875,662.125,397.5,342,400.75,379.375,,
131,366.625,585.75,402.375,327.375,491.75,382.625,,
132,371.5,541.875,394.25,312.75,433.25,376.125,,
133,373.125,524,379.625,306.25,412.125,361.5,,
134,378,491.5,389.375,343.625,415.375,346.875,,
135,392.625,480.125,395.875,358.25,410.5,351.75,,
136,417,472,397.5,369.625,407.25,387.5,,
137,431.625,480.125,400.75,389.125,400.75,424.875,,
138,413.75,494.75,400.75,403.75,395.875,455.75,,
139,389.375,530.5,402.375,413.5,394.25,468.75,,
140,378,564.625,451.125,329,394.25,437.875,,
141,389.375,465.5,417,329,394.25,364.75,,
142,355.25,618.25,394.25,330.625,384.5,342,,
143,287,670.25,405.625,356.625,381.25,376.125,,
144,378,663.75,402.375,382.625,379.625,387.5,,
145,395.875,681.625,378,288.375,378,423.25,,
146,400.75,468.75,371.5,268.875,378,449.25,,
147,382.875,436.25,358.5,252.625,378,447.625,,
148,391,428.125,353.625,238,395.875,424.875,,
149,408.875,415.125,345.5,218.5,430,374.5,,
150,400.75,387.5,340.625,208.75,381.25,364.75,,
151,391,377.75,329.25,195.75,363.375,291.625,,
152,391,371.25,319.5,179.5,363.375,262.375,,
153,405.625,359.875,313,164.875,347.125,249.375,,
154,399.125,342,298.375,148.625,347.125,229.875,,
155,407.25,333.875,291.875,132.375,337.375,205.5,,
156,431.625,330.625,291.875,116.125,334.125,194.125,,
157,421.875,329,285.375,104.75,321.125,176.25,,
158,407.25,327.375,272.375,96.625,319.5,171.375,,
159,394.25,320.875,270.75,98.25,308.125,158.375,,
160,389.375,342,275.625,121,293.5,140.5,,
161,397.5,384.25,269.125,114.5,293.5,140.5,,
162,399.125,394,252.875,101.5,287,132.375,,
163,397.5,413.5,233.375,90.125,287,132.375,,
164,397.5,424.875,213.875,82,233.375,93.375,,
165,397.5,426.5,199.25,72.25,233.375,93.375,,
166,404,446,189.5,67.375,215.5,75.5,,
167,417,460.625,205.75,60.875,264.25,82,,
168,425.125,450.875,217.125,60.875,285.375,134,,
169,430,431.375,241.5,70.625,353.625,134,,
170,431.625,400.5,256.125,85.25,353.625,134,,
171,433.25,381,264.25,99.875,264.25,101.5,,
172,421.875,385.875,274,109.625,296.75,101.5,,
173,418.625,403.75,287,117.75,309.75,78.75,,
174,410.5,428.125,301.625,140.5,369.875,197.375,,
175,410.5,449.25,316.25,151.875,404,247.75,,
176,410.5,463.875,332.5,161.625,366.625,158.375,,
177,413.75,489.875,345.5,176.25,332.5,151.875,,
178,426.75,489.875,352,171.375,329.25,106.375,,
179,438.125,446,353.625,153.5,308.125,106.375,,
180,439.75,418.375,347.125,142.125,319.5,151.875,,
181,433.25,403.75,340.625,134,322.75,140.5,,
182,421.875,385.875,324.375,117.75,361.75,137.25,,
183,418.625,374.5,304.875,112.875,361.75,137.25,,
184,412.125,355,298.375,111.25,360.125,156.75,,
185,408.875,327.375,288.625,101.5,358.5,194.125,,
186,441.375,312.75,282.125,96.625,356.875,194.125,,
187,444.625,309.5,267.5,96.625,356.875,247.75,,
188,423.5,307.875,256.125,104.75,361.75,325.75,,
189,410.5,303,270.75,125.875,376.375,304.625,,
190,395.875,306.25,290.25,135.625,397.5,309.5,,
191,382.875,322.5,314.625,147,373.125,254.25,,
192,392.625,358.25,319.5,150.25,355.25,189.25,,
