,x,y
1,54.625,767.75
2,66,771
3,75.75,762.875
4,56.25,756.375
5,72.5,758
6,80.625,758
7,105,753.125
8,83.875,756.375
9,88.75,761.25
10,132.625,766.125
11,142.375,761.25
12,153.75,751.5
13,137.5,753.125
14,129.375,756.375
15,114.75,756.375
16,116.375,754.75
17,103.375,748.25
18,90.375,754.75
19,82.25,759.625
20,72.5,761.25
21,69.25,766.125
22,72.5,771
23,75.75,772.625
24,83.875,779.125
25,83.875,772.625
26,83.875,764.5
27,96.875,759.625
28,109.875,764.5
29,118,772.625
30,127.75,769.375
31,144,756.375
32,186.25,725.5
33,205.75,710.875
34,239.875,693
35,270.75,676.75
36,288.625,657.25
37,308.125,645.875
38,326,624.75
39,334.125,610.125
40,340.625,592.25
41,340.625,577.625
42,353.625,563
43,365,558.125
44,369.875,540.25
45,371.5,530.5
46,376.375,501.25
47,389.375,504.5
48,394.25,517.5
49,371.5,533.75
50,368.25,540.25
51,365,558.125
52,365,572.75
53,361.75,587.375
54,360.125,603.625
55,352,615
56,343.875,626.375
57,343.875,645.875
58,356.875,665.375
59,342.25,675.125
60,321.125,675.125
61,319.5,670.25
62,350.375,649.125
63,366.625,639.375
64,379.625,626.375
65,386.125,603.625
66,379.625,592.25
67,379.625,576
68,378,556.5
69,402.375,541.875
70,410.5,558.125
71,415.375,551.625
72,408.875,537
73,408.875,519.125
74,425.125,506.125
75,410.5,501.25
76,392.625,512.625
77,371.5,538.625
78,369.875,550
79,360.125,563
80,358.5,571.125
81,348.75,579.25
82,345.5,589
83,335.75,605.25
84,329.25,618.25
85,322.75,632.875
86,317.875,645.875
87,335.75,654
88,355.25,645.875
89,384.5,623.125
90,387.75,611.75
91,387.75,593.875
92,389.375,576
93,391,550
94,392.625,525.625
95,392.625,506.125
96,386.125,489.875
97,412.125,480.125
98,425.125,473.625
99,436.5,467.125
100,417,472
101,382.875,483.375
102,391,509.375
103,381.25,515.875
104,369.875,540.25
105,360.125,556.5
106,352,577.625
107,343.875,593.875
108,330.875,606.875
109,324.375,626.375
110,309.75,652.375
111,269.125,691.375
112,337.375,637.75
113,392.625,470.375
114,392.625,441.125
115,402.375,418.375
116,404,395.625
117,394.25,382.625
118,391,374.5
119,386.125,363.125
120,389.375,351.75
121,407.25,351.75
122,384.5,342
123,378,335.5
124,378,348.5
125,384.5,361.5
126,391,379.375
127,394.25,389.125
128,394.25,368
129,395.875,356.625
130,397.5,342
131,402.375,327.375
132,394.25,312.75
133,379.625,306.25
134,389.375,343.625
135,395.875,358.25
136,397.5,369.625
137,400.75,389.125
138,400.75,403.75
139,402.375,413.5
140,451.125,329
141,417,329
142,394.25,330.625
143,405.625,356.625
144,402.375,382.625
145,378,288.375
146,371.5,268.875
147,358.5,252.625
148,353.625,238
149,345.5,218.5
150,340.625,208.75
151,329.25,195.75
152,319.5,179.5
153,313,164.875
154,298.375,148.625
155,291.875,132.375
156,291.875,116.125
157,285.375,104.75
158,272.375,96.625
159,270.75,98.25
160,275.625,121
161,269.125,114.5
162,252.875,101.5
163,233.375,90.125
164,213.875,82
165,199.25,72.25
166,189.5,67.375
167,205.75,60.875
168,217.125,60.875
169,241.5,70.625
170,256.125,85.25
171,264.25,99.875
172,274,109.625
173,287,117.75
174,301.625,140.5
175,316.25,151.875
176,332.5,161.625
177,345.5,176.25
178,352,171.375
179,353.625,153.5
180,347.125,142.125
181,340.625,134
182,324.375,117.75
183,304.875,112.875
184,298.375,111.25
185,288.625,101.5
186,282.125,96.625
187,267.5,96.625
188,256.125,104.75
189,270.75,125.875
190,290.25,135.625
191,314.625,147
192,319.5,150.25
193,327.625,160
194,350.375,179.5
195,365,181.125
196,387.75,186
197,394.25,195.75
198,387.75,207.125
199,389.375,212
200,397.5,251
201,404,267.25
202,404,293.25
203,404,325.75
204,376.375,291.625
205,371.5,281.875
206,374.75,73.875
207,350.375,96.625
208,329.25,121
209,330.875,140.5
210,342.25,161.625
211,347.125,169.75
212,358.5,192.5
213,378,208.75
214,384.5,215.25
215,365,173
216,352,153.5
217,334.125,137.25
218,314.625,124.25
219,295.125,119.375
220,287,111.25
221,280.5,93.375
222,275.625,80.375
223,280.5,78.75
224,267.5,72.25
225,239.875,69
226,231.75,85.25
227,252.875,101.5
228,275.625,108
229,339,147
230,348.75,158.375
231,368.25,189.25
232,387.75,226.625
233,384.5,238
234,379.625,252.625
235,369.875,244.5
236,376.375,259.125
237,384.5,281.875
238,371.5,254.25
239,352,200.625
240,339,177.875
241,321.125,160
242,319.5,140.5
243,339,127.5
244,326,117.75
245,137.5,51.125
246,101.75,41.375
247,75.75,44.625
248,64.375,56
249,53,38.125
250,51.375,30
251,77.375,28.375
252,90.375,28.375
253,83.875,33.25
254,79,39.75
255,77.375,41.375
256,72.5,44.625
257,64.375,44.625
258,64.375,44.625
259,59.5,36.5
260,59.5,28.375
261,64.375,25.125
262,77.375,30
263,100.125,30
264,96.875,33.25
265,83.875,38.125
266,79,41.375
267,77.375,43
268,75.75,43
269,66,39.75
270,54.625,46.25
271,59.5,44.625
272,59.5,38.125
273,62.75,34.875
274,82.25,39.75
275,100.125,44.625
276,116.375,46.25
277,142.375,46.25
278,147.25,46.25
279,118,38.125
280,114.75,38.125
281,105,36.5
282,100.125,44.625
283,93.625,46.25
284,82.25,46.25
285,75.75,39.75
286,87.125,39.75
287,98.5,39.75
288,106.625,34.875
289,106.625,36.5
290,111.5,36.5
291,75.75,34.875
292,77.375,43
293,74.125,47.875
294,69.25,47.875
295,57.875,34.875
